Chapter_Name,Chapter_Code,Concept_Name
NOCB,C151000180,
Solution Collegative Properties,C151000190,
Basic Concepts of Chemistry,C151000210,
Hydrocarbon,C151000292,
Isomerism ( Structural ),C151000468,
Chemical Eqilibirum,C151000499,
Revision,C161000522,
Basic_Principle_and_Techniques_In_Org_Chem_Part_2,CHP000017,
Alkynes,CHP000018,
Aromatic_Compond,CHP000019,
s_block_elements,CHP000036,
p_block_elements,CHP000037,
Environmental_Chemistry,CHP000047,
Atomic_Structure_I,CHP000050,
Periodic Table,CHP000051,
Chemical_Bonding_I,CHP000052,
Mole_and_Equivalent_Concept,CHP000053,
Redox_Reaction,CHP000054,
Gaseous_State,CHP000056,
Alkanes,CHP000080,
Ionic_Equilibrium_I,CHP000162,
Alkenes,CHP000167,
Hydrocarbon_Entrance,CHP000168,
Surface_Chemistry,CHP000169,
Ionic_Equilibrium_II,CHP000170,
Atomic_Structure_II,CHP000171,
General_Organic_Chemistry,CHP000179,
Basic_principles_and_Techniques_in_Organic_Chemistry_I,CHP000188,
Chemical_Bonding_II,CHP000190,
Hydrogen,CHP000296,
Chemical_Equilibrium,CHP000298,
Chemical_Thermodynamics_and_Energetics_I,CHP000375,
Chemical_Thermodynamics_and_Energetics_II,CHP001571,
