Course,Subject,Chapter,Topic,Sub_topic,Module,Lesson_Plan_Name
Test C N2,Test S N1, Test C N,,,Test M N,Test LP N
Test C N2,Test S N1, Test C N,,,Test M1 N,Test LP N
Test C N2,Test S N1, Test C N,,,Test M2 N,Test LP N
Test C N2,Test S N1, Test C N,Test T N,,Test MT N,Test LP N
Test C N2,Test S N1, Test C N,Test T N,,Test MT N,Test LP N 1
Test C N2,Test S N1, Test C N,Test T N,,Test MT1N,Test LP N 1
Test C N2,Test S N1, Test C N,Test T N,TEST ST N,Test MST N,Test LP N 1
Test C N2,Test S N1, Test C N,Test T N,TEST ST N,Test MST N,Test LP N 2
Test C N2,Test S N1, Test C N,Test T N,TEST ST N,Test MST1 N,Test LP N 2
Test C N2,Test S N1, Test C N,Test T N,TEST ST N,Test MST2 N,Test LP N 2
Test C N2,Test S N1, Test C N,Test T N,TEST ST N,Test MST2 N,Test LP N 2
Test C N2,Test S N1, Test C N,,,Test MST2cccc N,Test LP N 2
Test C N2,Test S N1,,,,Test MST2cccc N,Test LP N 2
